组别,代码,名称,昨日弱势依据,昨日涨跌幅%,昨日最高价,昨日收盘价,竞价价格,竞价涨幅%,竞价成交额元,昨日竞价成交额元,竞价额较昨日倍数,竞价换手率%,昨日回落收复比例,未通过条件
A,600613.SH,神奇制药,昨日炸板未封住,4.146341,9.02,8.54,8.12,-4.918033,17190852.0,2865555.0,5.999135,0.441688,-0.875,竞价高开不足1%；未收复昨日回落的一半
B,002250.SZ,联化科技,昨日下跌至少1%,-1.472651,14.37,14.05,14.09,0.284698,394520.0,68112.0,5.792225,0.003127,0.125,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,605090.SH,九丰能源,昨日下跌至少1%,-1.343101,32.77,32.32,32.69,1.144802,3099012.0,551278.0,5.621505,0.01343,0.822222,竞价额不足500万
B,600066.SH,宇通客车,昨日下跌至少1%,-1.089406,26.78,26.33,26.09,-0.911508,3723043.0,676005.0,5.507419,0.006446,-0.533333,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000509.SZ,华塑控股,昨日下跌至少1%,-1.436782,3.48,3.43,3.46,0.874636,607230.0,110316.0,5.50446,0.016354,0.6,竞价高开不足1%；竞价额不足500万
B,002023.SZ,海特高新,昨日下跌至少1%,-1.358412,9.63,9.44,9.53,0.95339,953000.0,174582.0,5.458753,0.013621,0.473684,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600461.SH,洪城环境,昨日下跌至少1%,-1.655629,9.07,8.91,8.94,0.3367,717882.0,131984.0,5.439159,0.006106,0.1875,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000048.SZ,京基智农,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.017146,20.12,19.43,19.4,-0.1544,777940.0,150404.0,5.172336,0.007576,-0.043478,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000408.SZ,藏格矿业,昨日下跌至少1%,-1.86722,72.48,70.95,73.85,4.087385,31711190.0,6222459.0,5.096247,0.02737,1.895425,
B,002299.SZ,圣农发展,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.148148,16.26,15.69,15.69,0.0,569547.0,115992.0,4.910227,0.002979,0.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600272.SH,开开实业,昨日冲高回落且收于日内下半区,0.80429,15.51,15.04,14.93,-0.731383,3226373.0,665432.0,4.848539,0.135063,-0.234043,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002895.SZ,川恒股份,昨日下跌至少1%,-1.130491,30.9,30.61,30.86,0.816727,339460.0,70978.0,4.782609,0.001835,0.862069,竞价高开不足1%；竞价额不足500万
B,601388.SH,怡球资源,昨日下跌至少1%,-2.121212,3.3,3.23,3.25,0.619195,391950.0,85280.0,4.596037,0.005479,0.285714,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002097.SZ,山河智能,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.805556,7.33,7.07,7.1,0.424328,1671340.0,386640.0,4.322729,0.021938,0.115385,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603109.SH,神驰机电,昨日冲高回落且收于日内下半区,3.353659,17.65,16.95,16.93,-0.117994,1034423.0,239975.0,4.310545,0.029256,-0.028571,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600479.SH,千金药业,昨日冲高回落且收于日内下半区,1.323919,11.85,11.48,11.48,0.0,8635256.0,2023422.0,4.26765,0.179734,0.0,竞价高开不足1%；未收复昨日回落的一半
B,603638.SH,艾迪精密,昨日下跌至少1%,-1.104972,18.19,17.9,18.05,0.837989,559550.0,135150.0,4.140215,0.00352,0.517241,竞价高开不足1%；竞价额不足500万
B,002268.SZ,电科网安,昨日冲高回落且收于日内下半区,3.740296,15.41,14.7,14.67,-0.204082,7513974.0,1877432.0,4.002262,0.060608,-0.042254,竞价高开不足1%；未收复昨日回落的一半
A,000572.SZ,海马汽车,昨日炸板未封住,7.920792,4.44,4.36,4.29,-1.605505,28320864.0,7433600.0,3.809845,0.401984,-0.875,竞价高开不足1%；未收复昨日回落的一半
B,001298.SZ,好上好,昨日下跌至少1%,-1.924198,17.25,16.82,17.01,1.129608,1115856.0,293260.0,3.805006,0.016101,0.44186,竞价额不足500万；未收复昨日回落的一半
B,600488.SH,津药药业,昨日冲高回落且收于日内下半区,-0.498339,6.27,5.99,5.9,-1.502504,16412620.0,4339156.0,3.782445,0.25477,-0.321429,竞价高开不足1%；未收复昨日回落的一半
B,000777.SZ,中核科技,昨日下跌至少1%,-1.140456,16.69,16.47,16.53,0.364299,631446.0,167256.0,3.775326,0.009963,0.272727,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600366.SH,宁波韵升,昨日下跌至少1%,-1.432408,11.25,11.01,11.1,0.817439,2146740.0,568917.0,3.77338,0.017597,0.375,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600075.SH,新疆天业,昨日下跌至少1%,-2.597403,4.6,4.5,4.51,0.222222,353584.0,97767.0,3.616599,0.004591,0.1,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,600929.SH,雪天盐业,昨日开板4次,10.0,5.94,5.94,5.92,-0.3367,15532304.0,4309380.0,3.604301,0.159971,,竞价高开不足1%
B,600888.SH,新疆众和,昨日下跌至少1%,-2.2,10.06,9.78,9.96,1.840491,4811676.0,1363230.0,3.529614,0.031106,0.642857,竞价额不足500万
B,600095.SH,湘财股份,昨日冲高回落且收于日内下半区,0.937866,8.87,8.61,8.73,1.393728,5248476.0,1506635.0,3.483575,0.021027,0.461538,未收复昨日回落的一半
B,600727.SH,鲁北化工,昨日下跌至少1%,-1.331558,7.49,7.41,7.49,1.079622,884569.0,255878.0,3.456995,0.022343,1.0,竞价额不足500万
B,601138.SH,工业富联,昨日下跌至少1%,-1.700626,62.78,61.27,62.98,2.790925,76671852.0,22184960.0,3.456028,0.006135,1.13245,
A,002824.SZ,和胜股份,昨日炸板未封住,5.660377,30.9,29.68,29.53,-0.505391,20145366.0,5847401.0,3.445183,0.301623,-0.122951,竞价高开不足1%；未收复昨日回落的一半
A,600354.SH,敦煌种业,昨日开板2次,10.045147,9.75,9.75,9.37,-3.897436,32234674.0,9557414.0,3.37274,0.651797,,竞价高开不足1%
B,600520.SH,三佳科技,昨日下跌至少1%,-1.159536,25.2,24.72,25.08,1.456311,877800.0,260715.0,3.366895,0.022092,0.75,竞价额不足500万
B,000758.SZ,中色股份,昨日下跌至少1%,-2.317881,6.03,5.9,5.99,1.525424,2342090.0,700856.0,3.341756,0.019724,0.692308,竞价额不足500万
B,000723.SZ,美锦能源,昨日下跌至少1%,-1.098901,3.63,3.6,3.57,-0.833333,2818515.0,853234.0,3.303332,0.017963,-1.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603859.SH,能科科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.089244,39.17,37.96,38.39,1.132771,1059564.0,323400.0,3.276327,0.011279,0.355372,竞价额不足500万；未收复昨日回落的一半
B,002197.SZ,证通电子,昨日下跌至少1%,-1.512859,6.65,6.51,6.66,2.304147,411588.0,129360.0,3.181725,0.011573,1.071429,竞价额不足500万
B,002065.SZ,东华软件,昨日下跌至少1%,-1.054217,6.67,6.57,6.6,0.456621,705540.0,222757.0,3.167308,0.003629,0.3,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000035.SZ,中国天楹,昨日下跌至少1%,-1.859504,4.83,4.75,4.75,0.0,503975.0,161952.0,3.111879,0.004587,0.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603533.SH,掌阅科技,昨日冲高回落且收于日内下半区,0.171013,24.29,23.43,23.28,-0.640205,10178016.0,3300810.0,3.08349,0.099613,-0.174419,竞价高开不足1%；未收复昨日回落的一半
B,603977.SH,国泰集团,昨日下跌至少1%,-1.928133,11.43,11.19,11.28,0.80429,115056.0,37389.0,3.077269,0.001642,0.375,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002706.SZ,良信股份,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.96376,8.87,8.48,8.43,-0.589623,2319936.0,762120.0,3.044056,0.030077,-0.128205,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000552.SZ,甘肃能化,昨日下跌至少1%,-1.587302,2.5,2.48,2.46,-0.806452,2575620.0,853250.0,3.018599,0.028101,-1.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002290.SZ,禾盛新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.255358,66.88,64.5,67.0,3.875969,5346600.0,1772896.0,3.015744,0.032265,1.05042,
B,000928.SZ,中钢国际,昨日下跌至少1%,-1.454545,5.5,5.42,5.41,-0.184502,311616.0,103930.0,2.998326,0.004015,-0.125,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000761.SZ,本钢板材,昨日下跌至少1%,-1.315789,2.27,2.25,2.27,0.888889,215196.0,72772.0,2.957126,0.002556,1.0,竞价高开不足1%；竞价额不足500万
B,002083.SZ,孚日股份,昨日下跌至少1%,-1.111111,9.89,9.79,9.9,1.123596,2824470.0,955450.0,2.956167,0.030149,1.1,竞价额不足500万
B,603228.SH,景旺电子,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.020487,107.72,104.26,108.0,3.587186,45241200.0,15358032.0,2.945768,0.042657,1.080925,
A,000980.SZ,众泰汽车,昨日开板3次,10.232558,2.37,2.37,2.26,-4.64135,28066940.0,9558848.0,2.936226,0.246287,,竞价高开不足1%
B,002117.SZ,东港股份,昨日下跌至少1%,-1.030928,7.79,7.68,7.71,0.390625,54741.0,18696.0,2.927953,0.001356,0.272727,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002365.SZ,永安药业,昨日冲高回落且收于日内下半区,-0.576369,14.25,13.8,13.92,0.869565,1162320.0,404712.0,2.871968,0.033992,0.266667,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600176.SH,中国巨石,昨日冲高回落且收于日内下半区,-0.506436,51.68,47.15,48.0,1.802757,290193600.0,102081680.0,2.842759,0.152224,0.187638,未收复昨日回落的一半
B,600398.SH,海澜之家,昨日下跌至少1%,-1.030928,5.86,5.76,5.76,0.0,630720.0,222523.0,2.834404,0.00228,0.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002891.SZ,中宠股份,昨日下跌至少1%,-1.343988,27.52,27.16,27.1,-0.220913,672080.0,237423.0,2.830728,0.007704,-0.166667,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002307.SZ,北新路桥,昨日下跌至少1%,-1.66113,3.0,2.96,2.98,0.675676,328992.0,116400.0,2.826392,0.006777,0.5,竞价高开不足1%；竞价额不足500万
B,601918.SH,新集能源,昨日下跌至少1%,-2.666667,10.5,10.22,10.19,-0.293542,2223458.0,786710.0,2.826274,0.008423,-0.107143,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600395.SH,盘江股份,昨日下跌至少1%,-2.12766,5.2,5.06,5.01,-0.988142,1477449.0,531960.0,2.777369,0.013738,-0.357143,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002283.SZ,天润工业,昨日冲高回落且收于日内下半区,2.375,8.44,8.19,8.19,0.0,941031.0,339288.0,2.773546,0.011386,0.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600273.SH,嘉化能源,昨日下跌至少1%,-2.015504,6.47,6.32,6.35,0.474684,543560.0,197401.0,2.753583,0.006528,0.2,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600361.SH,创新新材,昨日下跌至少1%,-1.133144,3.54,3.49,3.52,0.859599,711040.0,259038.0,2.744925,0.005412,0.6,竞价高开不足1%；竞价额不足500万
B,601702.SH,华峰铝业,昨日下跌至少1%,-1.188904,15.16,14.96,15.14,1.203209,487508.0,178180.0,2.736042,0.003225,0.9,竞价额不足500万
B,002943.SZ,宇晶股份,昨日冲高回落且收于日内下半区,0.572198,30.9,29.88,30.44,1.874163,748824.0,274350.0,2.729448,0.013026,0.54902,竞价额不足500万
A,600371.SH,万向德农,昨日开板11次,9.985935,15.64,15.64,14.3,-8.567775,54244190.0,20140329.0,2.693312,1.296509,,竞价高开不足1%
B,603738.SH,泰晶科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.796247,37.77,36.63,37.67,2.839203,14405008.0,5464890.0,2.635919,0.099096,0.912281,
B,603138.SH,海量数据,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.736111,14.8,14.15,14.41,1.837456,4103968.0,1561172.0,2.628774,0.098771,0.4,竞价额不足500万；未收复昨日回落的一半
B,002348.SZ,高乐股份,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.125704,10.94,10.54,10.81,2.56167,386998.0,149526.0,2.588165,0.003962,0.675,竞价额不足500万
B,601727.SH,上海电气,昨日下跌至少1%,-1.244168,6.43,6.35,6.36,0.15748,1917540.0,749329.0,2.559009,0.00239,0.125,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603129.SH,春风动力,昨日下跌至少1%,-1.946915,298.39,291.1,295.0,1.339746,1947000.0,769600.0,2.529886,0.0043,0.534979,竞价额不足500万
B,002265.SZ,建设工业,昨日冲高回落且收于日内下半区,0.647733,21.46,20.2,20.1,-0.49505,4950630.0,1962468.0,2.522655,0.023842,-0.079365,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,002080.SZ,中材科技,昨日炸板未封住,5.028633,61.47,58.69,64.56,10.001704,434953632.0,173323492.0,2.50949,0.401472,2.111511,竞价高开超过7%（含竞价涨停）
B,600780.SH,通宝能源,昨日下跌至少1%,-1.913876,6.25,6.15,6.13,-0.325203,319373.0,127296.0,2.508901,0.004544,-0.2,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000608.SZ,阳光股份,昨日下跌至少1%,-1.264045,7.2,7.03,7.09,0.853485,190012.0,76291.0,2.490621,0.004646,0.352941,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002736.SZ,国信证券,昨日下跌至少1%,-1.215805,9.88,9.75,9.8,0.512821,1140720.0,461027.0,2.474302,0.001137,0.384615,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000751.SZ,锌业股份,昨日下跌至少1%,-2.547771,4.71,4.59,4.64,1.089325,995280.0,403021.0,2.469549,0.013277,0.416667,竞价额不足500万；未收复昨日回落的一半
B,002349.SZ,精华制药,昨日冲高回落且收于日内下半区,0.249688,8.43,8.03,7.89,-1.743462,10909503.0,4426560.0,2.464556,0.169827,-0.35,竞价高开不足1%；未收复昨日回落的一半
B,600956.SH,新天绿能,昨日下跌至少1%,-1.643836,7.29,7.18,7.21,0.417827,239372.0,97875.0,2.445691,0.001414,0.272727,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002130.SZ,沃尔核材,昨日下跌至少1%,-1.816052,17.19,16.76,17.05,1.73031,3711785.0,1523361.0,2.436576,0.018857,0.674419,竞价额不足500万
B,603605.SH,珀莱雅,昨日下跌至少1%,-1.434644,56.39,55.65,56.0,0.628931,1741600.0,717184.0,2.428387,0.007854,0.472973,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603985.SH,恒润股份,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.364985,17.28,16.62,16.77,0.902527,820053.0,339010.0,2.418964,0.011092,0.227273,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600895.SH,张江高科,昨日下跌至少1%,-1.060445,28.41,27.99,28.28,1.036084,6549648.0,2722105.0,2.406097,0.014955,0.690476,
B,002545.SZ,东方铁塔,昨日下跌至少1%,-1.859888,16.28,15.83,15.9,0.442198,2380230.0,992979.0,2.39706,0.013246,0.155556,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603256.SH,宏和科技,昨日冲高回落且收于日内下半区,1.326075,151.88,145.18,149.01,2.638104,63567666.0,26837350.0,2.368627,0.04716,0.571642,
B,002201.SZ,九鼎新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.421801,10.85,10.4,10.71,2.980769,9874620.0,4194750.0,2.354043,0.15315,0.688889,
B,601898.SH,中煤能源,昨日下跌至少1%,-1.959412,14.3,14.01,13.91,-0.713776,3206255.0,1362790.0,2.352714,0.002519,-0.344828,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,001280.SZ,中国铀业,昨日下跌至少1%,-1.610103,63.39,62.33,63.15,1.315578,1913445.0,815100.0,2.347497,0.017441,0.773585,竞价额不足500万
B,600973.SH,宝胜股份,昨日下跌至少1%,-1.800327,6.1,6.0,6.02,0.333333,344344.0,148230.0,2.323039,0.004171,0.2,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,601606.SH,长城军工,昨日下跌至少1%,-1.339829,33.28,32.4,32.4,0.0,5145120.0,2236688.0,2.30033,0.021927,0.0,竞价高开不足1%；未收复昨日回落的一半
B,000933.SZ,神火股份,昨日下跌至少1%,-1.563082,27.02,26.45,27.04,2.230624,14415024.0,6270520.0,2.298856,0.023719,1.035088,
B,601011.SH,宝泰隆,昨日下跌至少1%,-1.023891,2.93,2.9,2.87,-1.034483,1005648.0,437742.0,2.297353,0.018291,-1.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600880.SH,博瑞传播,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.402806,5.19,4.92,4.85,-1.422764,11703535.0,5095035.0,2.297047,0.220772,-0.259259,竞价高开不足1%；未收复昨日回落的一半
B,002564.SZ,天沃科技,昨日下跌至少1%,-2.028398,4.92,4.83,4.85,0.414079,680455.0,296676.0,2.293596,0.016335,0.222222,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,601019.SH,山东出版,昨日下跌至少1%,-1.0279,6.86,6.74,6.77,0.445104,301942.0,132600.0,2.277089,0.002137,0.25,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603458.SH,勘设股份,昨日下跌至少1%,-2.767857,11.23,10.89,10.95,0.550964,264990.0,116688.0,2.270928,0.007905,0.176471,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002058.SZ,紫竹高科,昨日下跌至少1%,-1.060071,17.13,16.8,16.95,0.892857,830550.0,366768.0,2.264511,0.034178,0.454545,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002916.SZ,深南电路,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.247134,397.27,383.68,389.01,1.389178,16066113.0,7100280.0,2.262744,0.00621,0.3922,未收复昨日回落的一半
B,002114.SZ,罗平锌电,昨日下跌至少1%,-1.771117,7.39,7.21,7.3,1.248266,322660.0,143520.0,2.248188,0.013668,0.5,竞价额不足500万
B,002467.SZ,二六三,昨日下跌至少1%,-1.084599,4.62,4.56,4.58,0.438596,418612.0,186354.0,2.246327,0.00668,0.333333,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600707.SH,彩虹股份,昨日冲高回落且收于日内下半区,1.315789,9.84,9.24,9.42,1.948052,12260130.0,5519338.0,2.221304,0.036277,0.3,未收复昨日回落的一半
B,603685.SH,晨丰科技,昨日下跌至少1%,-1.811594,27.78,27.1,27.38,1.03321,109520.0,49320.0,2.2206,0.001985,0.411765,竞价额不足500万；未收复昨日回落的一半
B,002309.SZ,中利集团,昨日下跌至少1%,-2.348993,2.97,2.91,2.94,1.030928,1391796.0,627561.0,2.217786,0.019675,0.5,竞价额不足500万
B,600011.SH,华能国际,昨日下跌至少1%,-1.311953,6.85,6.77,6.77,0.0,2051310.0,950076.0,2.159101,0.002755,0.0,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,001337.SZ,四川黄金,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-4.326282,52.99,50.2,51.0,1.593625,14606400.0,6796160.0,2.149214,0.06819,0.286738,未收复昨日回落的一半
B,000034.SZ,神州数码,昨日下跌至少1%,-1.586621,23.4,22.95,23.24,1.263617,1956808.0,911760.0,2.146188,0.009916,0.644444,竞价额不足500万
B,601555.SH,东吴证券,昨日下跌至少1%,-1.311085,8.4,8.28,8.31,0.362319,1646211.0,773210.0,2.129061,0.003987,0.25,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600508.SH,上海能源,昨日下跌至少1%,-2.336449,10.67,10.45,10.38,-0.669856,1828956.0,860520.0,2.125408,0.017414,-0.318182,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,002285.SZ,世联行,昨日开板10次,10.041841,2.63,2.63,2.6,-1.140684,21623420.0,10186740.0,2.122703,0.420246,,竞价高开不足1%
B,000009.SZ,中国宝安,昨日下跌至少1%,-1.004304,6.98,6.9,6.95,0.724638,647045.0,306054.0,2.114153,0.003614,0.625,竞价高开不足1%；竞价额不足500万
B,605198.SH,安德利,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.843884,82.26,79.85,81.48,2.041327,4758432.0,2261530.0,2.104076,0.021587,0.676349,竞价额不足500万
B,600295.SH,鄂尔多斯,昨日下跌至少1%,-2.102102,13.4,13.04,13.02,-0.153374,274722.0,132700.0,2.070249,0.001068,-0.055556,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
