signal_date,instrument_id,name,observed_sessions,first_limit_date,first_limit_lag,all_limit_dates
2026-09-09,002362.SZ,汉王科技,5,2026-09-15,4,2026-09-15
2026-09-09,603020.SH,爱普股份,5,2026-09-14,3,2026-09-14
2026-09-09,002918.SZ,蒙娜丽莎,5,2026-09-14,3,2026-09-14
2026-09-09,603276.SH,恒兴新材,5,2026-09-16,5,2026-09-16
2026-09-10,001896.SZ,豫能控股,4,2026-09-14,2,2026-09-14
2026-09-10,002242.SZ,九阳股份,4,2026-09-11,1,2026-09-11
2026-09-10,600163.SH,中闽能源,4,2026-09-15,3,2026-09-15
2026-09-10,002918.SZ,蒙娜丽莎,4,2026-09-14,2,2026-09-14
2026-09-10,002161.SZ,远望谷,4,2026-09-11,1,2026-09-11;2026-09-16
2026-09-10,603657.SH,春光科技,4,2026-09-14,2,2026-09-14
2026-09-10,605058.SH,澳弘电子,4,2026-09-11,1,2026-09-11;2026-09-14;2026-09-15;2026-09-16
2026-09-10,603693.SH,江苏新能,4,2026-09-11,1,2026-09-11
2026-09-10,601218.SH,吉鑫科技,4,2026-09-15,3,2026-09-15
2026-09-10,002442.SZ,龙星科技,4,2026-09-16,4,2026-09-16
2026-09-10,002913.SZ,奥士康,4,2026-09-16,4,2026-09-16
2026-09-10,603285.SH,键邦股份,4,2026-09-14,2,2026-09-14
2026-09-10,002617.SZ,露笑科技,4,2026-09-16,4,2026-09-16
2026-09-10,605011.SH,杭州热电,4,2026-09-11,1,2026-09-11
2026-09-10,000812.SZ,陕西金叶,4,2026-09-14,2,2026-09-14
2026-09-10,002730.SZ,电光科技,4,2026-09-16,4,2026-09-16
2026-09-10,600616.SH,金枫酒业,4,2026-09-16,4,2026-09-16
2026-09-10,600088.SH,中视传媒,4,2026-09-11,1,2026-09-11;2026-09-14
2026-09-10,000753.SZ,漳州发展,4,2026-09-16,4,2026-09-16
2026-09-10,603230.SH,内蒙新华,4,2026-09-16,4,2026-09-16
2026-09-10,002846.SZ,英联股份,4,2026-09-15,3,2026-09-15;2026-09-16
2026-09-10,600228.SH,返利科技,4,2026-09-14,2,2026-09-14
2026-09-10,002519.SZ,银河电子,4,2026-09-11,1,2026-09-11
2026-09-10,000731.SZ,四川美丰,4,2026-09-16,4,2026-09-16
2026-09-10,000670.SZ,盈方微,4,2026-09-16,4,2026-09-16
2026-09-10,002882.SZ,金龙羽,4,2026-09-15,3,2026-09-15
2026-09-11,601218.SH,吉鑫科技,3,2026-09-15,2,2026-09-15
2026-09-11,002487.SZ,大金重工,3,2026-09-15,2,2026-09-15
2026-09-11,600163.SH,中闽能源,3,2026-09-15,2,2026-09-15
2026-09-11,000720.SZ,新能泰山,3,2026-09-16,3,2026-09-16
2026-09-11,002617.SZ,露笑科技,3,2026-09-16,3,2026-09-16
2026-09-11,001896.SZ,豫能控股,3,2026-09-14,1,2026-09-14
2026-09-11,002918.SZ,蒙娜丽莎,3,2026-09-14,1,2026-09-14
2026-09-11,603657.SH,春光科技,3,2026-09-14,1,2026-09-14
2026-09-11,002442.SZ,龙星科技,3,2026-09-16,3,2026-09-16
2026-09-11,002913.SZ,奥士康,3,2026-09-16,3,2026-09-16
2026-09-11,603285.SH,键邦股份,3,2026-09-14,1,2026-09-14
2026-09-11,000812.SZ,陕西金叶,3,2026-09-14,1,2026-09-14
2026-09-11,002730.SZ,电光科技,3,2026-09-16,3,2026-09-16
2026-09-11,600616.SH,金枫酒业,3,2026-09-16,3,2026-09-16
2026-09-11,000753.SZ,漳州发展,3,2026-09-16,3,2026-09-16
2026-09-11,603230.SH,内蒙新华,3,2026-09-16,3,2026-09-16
2026-09-11,002846.SZ,英联股份,3,2026-09-15,2,2026-09-15;2026-09-16
2026-09-11,600228.SH,返利科技,3,2026-09-14,1,2026-09-14
2026-09-14,002362.SZ,汉王科技,2,2026-09-15,1,2026-09-15
2026-09-14,002487.SZ,大金重工,2,2026-09-15,1,2026-09-15
2026-09-14,600163.SH,中闽能源,2,2026-09-15,1,2026-09-15
2026-09-14,600545.SH,卓郎智能,2,2026-09-16,2,2026-09-16
2026-09-14,001378.SZ,德冠新材,2,2026-09-16,2,2026-09-16
2026-09-14,601218.SH,吉鑫科技,2,2026-09-15,1,2026-09-15
2026-09-14,000720.SZ,新能泰山,2,2026-09-16,2,2026-09-16
2026-09-14,002617.SZ,露笑科技,2,2026-09-16,2,2026-09-16
2026-09-14,002442.SZ,龙星科技,2,2026-09-16,2,2026-09-16
2026-09-14,002913.SZ,奥士康,2,2026-09-16,2,2026-09-16
2026-09-14,002730.SZ,电光科技,2,2026-09-16,2,2026-09-16
2026-09-14,600616.SH,金枫酒业,2,2026-09-16,2,2026-09-16
2026-09-14,000753.SZ,漳州发展,2,2026-09-16,2,2026-09-16
2026-09-14,603230.SH,内蒙新华,2,2026-09-16,2,2026-09-16
2026-09-15,003001.SZ,中岩大地,1,2026-09-16,1,2026-09-16
2026-09-15,600545.SH,卓郎智能,1,2026-09-16,1,2026-09-16
2026-09-15,001378.SZ,德冠新材,1,2026-09-16,1,2026-09-16
2026-09-15,000720.SZ,新能泰山,1,2026-09-16,1,2026-09-16
2026-09-15,002617.SZ,露笑科技,1,2026-09-16,1,2026-09-16
2026-09-15,002442.SZ,龙星科技,1,2026-09-16,1,2026-09-16
2026-09-15,002913.SZ,奥士康,1,2026-09-16,1,2026-09-16
2026-09-15,600059.SH,古越龙山,1,2026-09-16,1,2026-09-16
2026-09-15,603122.SH,合富中国,1,2026-09-16,1,2026-09-16
2026-09-15,000592.SZ,平潭发展,1,2026-09-16,1,2026-09-16
2026-09-15,002730.SZ,电光科技,1,2026-09-16,1,2026-09-16
